tweet_id,tweet_text,polarity
1,@narendramodi The entire world now sees Modi ji as a representative of God who was born and brought up in India to… https://t.co/1XLszRxz0V,positive
2,"RT @Azim80431333: #BeediLivelihoodsMatter @narendramodi @PMOIndia #BeediLivelihoodsMatter 
@narendramodi @PMOIndia 
Shri Hon'ble Narendra M…",positive
3,"RT @DrAVSriv: 1. Who do you (Kerala voters) think is the most suitable candidate for the post of PM of India?

•Narendra Modi: 31.95%
•Rahu…",neutral
4,"RT @Arvindgmt: Today, on the occasion of Women's Day, the Prime Minister, Shri Narendra Modi bought products from various women Self Help G…",positive
5,RT @ashokgehlot51: Attended the meeting of the National Committee for commemoration of 75th Anniversary of India's Independence under chair…,positive
6,RT @kirthurgan: Narendra Modi  Prime Minister     : India’s Temple Elephant’s Desperately in Need of Help - Sign the Petition! https://t.co…,neutral
7,"RT @MdMostakimHoqu1: #BeediLivelihoodsMatter 
@narendramodi @PMOIndia 
Shri Hon'ble Narendra Modi Saheb  I requested to repeal the quota la…",positive
8,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
9,"RT @SalmanSoz: Even in a state where people prefer Rahul Gandhi to Narendra Modi for the post of Prime Minister, Godi Media can't help but…",neutral
10,"RT @Reuters: Faced with the protests, Prime Minister Narendra Modi’s government offered to suspend the laws for 18 months, but the farmers…",positive
11,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
12,"RT @sridharreddyko3: Today, on the occasion of Women’s Day, the Prime Minister, Shri Narendra Modi ji bought products from various women Se…",positive
13,"RT @Suvarnashre: Anyone -Muslims,Hindu,Christian or atheist-who values the rule of law, democracy , freedom from group identity &amp; the world…",positive
14,"RT @Arvindgmt: Today, on the occasion of Women's Day, the Prime Minister, Shri Narendra Modi bought products from various women Self Help G…",positive
15,@republic SMITA PRAKASH IS BRILLIANT AGAIN👌NARENDRA MODI IS P.M. ELECTED THROUGH A POLITICAL PROCESS KNOWN AS PARLI… https://t.co/I2aeXtpmnv,neutral
16,"RT @Suvarnashre: Anyone -Muslims,Hindu,Christian or atheist-who values the rule of law, democracy , freedom from group identity &amp; the world…",positive
17,"RT @ndtv: #LeftRightCentre | Debjani Bhattacharya, Columnist, on the war-of-words between Prime Minister Narendra Modi and #WestBengal Chie…",positive
18,"RT @TimesNow: Who do you (Kerala voters) think is the most suitable candidate for the post of PM of India?
•Narendra Modi: 31.95%
•Rahul Ga…",neutral
19,"RT @RizviUzair: Scores of Rohingya who fled persecution in Myanmar are being held in a detention centre in India

Hindu-nationalist governm…",neutral
20,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
21,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
22,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
23,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......",positive
24,"RT @rawal_sanjan: On This Women's Day Let's Not Forget The India's Bravest Journalist Gauri Lankesh

She Was Shot Down At Her Door Steps On…",neutral
